Round,Double Sixes(T/F),Winner,Total Doubles,Double Ones,Double Twos,Double Threes,Double Fours,Double Fives,Double Sixes
1,True,Gambler,3,0,0,1,1,0,1
2,False,House,2,0,0,2,0,0,0
3,False,House,7,1,1,1,1,3,0
4,True,Gambler,10,0,4,1,1,3,1
5,False,House,7,0,3,2,1,1,0
6,True,Gambler,2,0,0,1,0,0,1
7,True,Gambler,6,0,1,1,1,1,2
8,False,House,1,0,0,1,0,0,0
9,True,Gambler,5,0,0,0,2,2,1
10,True,Gambler,4,0,1,0,1,1,1
11,True,Gambler,6,2,1,0,1,1,1
12,False,House,4,0,1,1,1,1,0
13,False,House,6,0,4,1,0,1,0
14,True,Gambler,6,0,1,2,2,0,1
15,True,Gambler,6,2,2,1,0,0,1
16,False,House,4,1,1,0,1,1,0
17,True,Gambler,6,0,1,2,2,0,1
18,True,Gambler,6,0,0,0,1,2,3
19,False,House,5,2,0,2,0,1,0
20,False,House,2,0,0,1,1,0,0
21,False,House,2,0,1,1,0,0,0
22,True,Gambler,3,0,1,0,0,0,2
23,True,Gambler,7,1,2,0,3,0,1
24,False,House,5,1,0,1,1,2,0
25,False,House,2,1,1,0,0,0,0
26,False,House,7,1,1,3,2,0,0
27,False,House,6,1,0,1,1,3,0
28,False,House,5,1,1,2,1,0,0
29,True,Gambler,8,3,0,1,1,1,2
30,False,House,0,0,0,0,0,0,0
31,False,House,2,1,0,0,0,1,0
32,True,Gambler,4,1,0,0,0,0,3
33,False,House,6,3,1,0,2,0,0
34,True,Gambler,6,0,1,0,1,2,2
35,True,Gambler,7,2,0,0,0,3,2
36,True,Gambler,5,1,2,1,0,0,1
37,True,Gambler,4,1,0,1,0,1,1
38,False,House,4,0,0,3,0,1,0
39,False,House,2,0,1,1,0,0,0
40,False,House,2,0,0,1,1,0,0
41,True,Gambler,5,1,1,0,1,1,1
42,False,House,3,1,2,0,0,0,0
43,False,House,2,0,0,1,1,0,0
44,True,Gambler,3,0,0,0,1,1,1
45,False,House,4,0,2,2,0,0,0
46,True,Gambler,5,0,2,0,0,2,1
47,False,House,3,0,1,1,0,1,0
48,False,House,4,1,1,1,0,1,0
49,True,Gambler,3,1,0,0,0,1,1
50,False,House,6,2,2,1,0,1,0
51,False,House,4,0,0,1,1,2,0
52,True,Gambler,8,2,1,2,0,0,3
53,True,Gambler,5,1,3,0,0,0,1
54,True,Gambler,4,0,1,0,0,1,2
55,False,House,4,0,2,1,1,0,0
56,False,House,2,1,0,1,0,0,0
57,True,Gambler,4,2,0,1,0,0,1
58,True,Gambler,3,0,0,1,0,1,1
59,False,House,2,0,0,2,0,0,0
60,True,Gambler,7,1,1,0,2,2,1
61,True,Gambler,6,1,0,1,2,0,2
62,True,Gambler,7,2,1,0,3,0,1
63,False,House,4,0,0,2,1,1,0
64,False,House,3,1,1,0,0,1,0
65,False,House,3,0,0,1,2,0,0
66,True,Gambler,6,0,1,2,0,1,2
67,False,House,1,0,1,0,0,0,0
68,False,House,2,2,0,0,0,0,0
69,False,House,5,2,0,0,2,1,0
70,False,House,4,0,0,3,0,1,0
71,False,House,1,0,0,0,0,1,0
72,True,Gambler,2,0,0,0,0,1,1
73,False,House,4,0,1,0,1,2,0
74,False,House,8,0,3,2,0,3,0
75,True,Gambler,6,0,1,0,2,1,2
76,False,House,1,0,1,0,0,0,0
77,False,House,7,2,0,1,3,1,0
78,False,House,4,0,0,2,1,1,0
79,True,Gambler,6,0,1,2,1,1,1
80,True,Gambler,4,0,1,1,0,0,2
81,False,House,4,0,3,1,0,0,0
82,True,Gambler,10,2,1,0,0,2,5
83,True,Gambler,2,0,0,0,0,0,2
84,False,House,5,0,2,0,2,1,0
85,False,House,2,0,2,0,0,0,0
86,False,House,5,0,4,0,0,1,0
87,False,House,0,0,0,0,0,0,0
88,True,Gambler,5,1,0,2,0,0,2
89,True,Gambler,1,0,0,0,0,0,1
90,False,House,5,1,2,1,0,1,0
91,True,Gambler,6,1,3,1,0,0,1
92,False,House,7,1,1,0,2,3,0
93,True,Gambler,8,1,2,0,1,2,2
94,True,Gambler,3,0,0,2,0,0,1
95,False,House,2,1,0,0,0,1,0
96,True,Gambler,4,1,1,0,0,1,1
97,True,Gambler,4,1,0,1,1,0,1
98,False,House,4,1,1,0,1,1,0
99,True,Gambler,5,0,1,0,2,0,2
100,False,House,3,1,1,0,1,0,0
101,True,Gambler,4,0,2,1,0,0,1
102,True,Gambler,7,0,2,2,0,2,1
103,False,House,4,0,1,1,1,1,0
104,True,Gambler,3,1,1,0,0,0,1
105,True,Gambler,7,2,1,1,2,0,1
106,False,House,1,0,0,1,0,0,0
107,True,Gambler,3,0,0,1,0,1,1
108,False,House,6,0,1,2,1,2,0
109,False,House,3,0,2,1,0,0,0
110,True,Gambler,5,0,0,1,1,1,2
111,True,Gambler,7,0,1,2,2,1,1
112,True,Gambler,5,1,0,1,1,0,2
113,False,House,3,0,1,1,1,0,0
114,True,Gambler,2,0,1,0,0,0,1
115,False,House,1,0,0,0,1,0,0
116,False,House,2,0,0,0,1,1,0
117,False,House,3,0,1,1,0,1,0
118,False,House,5,0,0,1,2,2,0
119,False,House,5,0,2,1,1,1,0
120,False,House,5,1,2,0,0,2,0
121,True,Gambler,2,0,1,0,0,0,1
