Round,Doubles,Double Sixes,Winner,Number of Doubles Rolled,Number of Double Sixes Rolled
1,True,False,House,3,0
2,True,False,House,2,0
3,True,True,Gambler,6,2
4,False,False,House,0,0
5,True,False,House,2,0
6,True,False,House,2,0
7,True,False,House,4,0
8,True,False,House,1,0
9,True,True,Gambler,8,1
10,True,True,Gambler,2,1
11,True,True,Gambler,2,1
12,True,True,Gambler,4,1
13,True,False,House,3,0
14,True,False,House,2,0
15,True,False,House,6,0
16,True,False,House,4,0
17,True,False,House,5,0
18,True,False,House,3,0
19,True,True,Gambler,2,2
20,True,True,Gambler,3,1
21,True,False,House,2,0
22,True,True,Gambler,4,1
23,True,True,Gambler,5,1
24,True,True,Gambler,3,2
25,True,True,Gambler,5,1
26,True,False,House,2,0
27,True,False,House,6,0
28,True,True,Gambler,7,1
29,True,True,Gambler,5,2
30,True,True,Gambler,7,1
31,True,False,House,5,0
32,True,False,House,2,0
33,True,False,House,3,0
34,True,True,Gambler,3,1
35,True,True,Gambler,5,2
36,True,False,House,2,0
37,True,False,House,1,0
38,True,True,Gambler,7,1
39,True,True,Gambler,7,1
40,True,False,House,6,0
41,True,False,House,1,0
42,True,False,House,6,0
43,True,True,Gambler,5,1
44,True,False,House,2,0
45,True,False,House,4,0
46,True,True,Gambler,6,1
47,True,True,Gambler,9,1
48,True,True,Gambler,5,2
49,True,True,Gambler,5,1
50,True,True,Gambler,5,2
51,True,True,Gambler,5,1
52,True,False,House,3,0
53,True,True,Gambler,2,1
54,True,True,Gambler,6,4
55,True,False,House,1,0
56,True,True,Gambler,3,1
57,True,True,Gambler,2,1
58,True,False,House,4,0
59,True,True,Gambler,6,1
60,True,True,Gambler,6,3
61,True,True,Gambler,3,1
62,True,True,Gambler,10,3
63,True,False,House,5,0
64,True,False,House,3,0
65,True,False,House,6,0
66,True,False,House,2,0
67,True,False,House,5,0
68,True,False,House,5,0
69,True,True,Gambler,5,1
70,True,True,Gambler,6,1
71,True,False,House,2,0
72,True,True,Gambler,6,1
73,True,True,Gambler,5,1
74,True,False,House,4,0
75,True,False,House,1,0
76,True,False,House,4,0
77,True,True,Gambler,4,1
78,True,True,Gambler,5,1
79,True,True,Gambler,5,2
80,False,False,House,0,0
81,True,False,House,5,0
82,True,True,Gambler,7,1
83,True,False,House,5,0
84,True,False,House,1,0
85,True,False,House,6,0
86,True,True,Gambler,2,1
87,True,True,Gambler,6,1
88,True,False,House,3,0
89,True,False,House,3,0
90,True,True,Gambler,6,1
91,True,True,Gambler,3,2
92,True,False,House,6,0
93,True,True,Gambler,3,1
94,True,False,House,4,0
95,True,False,House,2,0
96,True,True,Gambler,3,1
97,True,True,Gambler,2,1
98,True,False,House,3,0
99,True,True,Gambler,5,1
100,True,True,Gambler,3,1
101,True,True,Gambler,5,1
102,True,False,House,2,0
103,True,False,House,5,0
104,True,True,Gambler,5,2
105,True,True,Gambler,7,2
106,True,True,Gambler,6,1
107,True,True,Gambler,3,1
108,True,True,Gambler,4,2
109,False,False,House,0,0
110,True,True,Gambler,4,2
111,True,True,Gambler,4,1
112,True,True,Gambler,5,1
113,True,False,House,2,0
114,True,True,Gambler,5,2
115,True,False,House,4,0
116,True,True,Gambler,2,1
117,True,False,House,3,0
118,True,False,House,6,0
119,True,False,House,4,0
120,True,False,House,4,0
121,True,False,House,2,0
122,True,True,Gambler,4,1
123,True,True,Gambler,4,1
124,True,False,House,7,0
125,True,False,House,2,0
126,True,True,Gambler,2,2
127,True,False,House,2,0
128,True,True,Gambler,4,1
129,True,True,Gambler,6,1
130,True,False,House,4,0
131,True,True,Gambler,4,2
132,True,False,House,3,0
133,True,True,Gambler,2,2
134,True,False,House,4,0
135,True,False,House,5,0
136,True,False,House,4,0
137,True,False,House,4,0
138,True,True,Gambler,7,1
139,True,False,House,4,0
140,True,False,House,2,0
141,True,False,House,5,0
142,True,False,House,5,0
143,True,True,Gambler,3,1
144,True,True,Gambler,6,2
145,True,True,Gambler,2,1
146,True,True,Gambler,7,4
147,True,True,Gambler,3,1
148,True,True,Gambler,1,1
149,True,False,House,5,0
150,True,False,House,5,0
151,True,True,Gambler,5,2
152,True,True,Gambler,3,1
153,True,False,House,4,0
154,True,False,House,3,0
155,True,False,House,5,0
156,True,False,House,7,0
157,True,False,House,2,0
158,True,True,Gambler,8,3
159,True,True,Gambler,8,1
160,True,True,Gambler,3,1
161,True,False,House,5,0
162,True,False,House,2,0
163,True,False,House,2,0
164,True,True,Gambler,8,2
165,True,False,House,1,0
166,True,False,House,3,0
167,True,False,House,3,0
168,True,True,Gambler,6,1
169,True,True,Gambler,4,1
170,True,False,House,2,0
171,True,True,Gambler,6,1
172,True,True,Gambler,6,1
173,True,False,House,2,0
174,True,False,House,3,0
175,True,True,Gambler,6,2
176,True,False,House,4,0
177,True,True,Gambler,7,1
178,True,True,Gambler,4,3
179,True,True,Gambler,4,1
180,True,False,House,1,0
181,True,True,Gambler,3,1
182,True,False,House,3,0
183,True,False,House,6,0
184,True,True,Gambler,3,1
185,True,True,Gambler,3,1
186,True,True,Gambler,3,1
187,True,True,Gambler,6,1
188,True,False,House,4,0
189,True,False,House,3,0
190,True,True,Gambler,6,1
191,True,False,House,4,0
192,True,False,House,3,0
193,True,False,House,3,0
194,True,False,House,1,0
195,True,False,House,2,0
196,True,False,House,4,0
197,True,True,Gambler,6,3
198,True,False,House,3,0
199,True,False,House,2,0
200,True,True,Gambler,4,1
201,True,False,House,3,0
202,True,False,House,5,0
203,True,False,House,3,0
204,True,True,Gambler,4,1
205,True,True,Gambler,5,1
206,True,True,Gambler,4,1
207,True,True,Gambler,5,2
208,True,True,Gambler,5,1
209,True,True,Gambler,6,2
210,True,True,Gambler,2,1
211,True,True,Gambler,5,1
212,True,False,House,2,0
213,True,False,House,2,0
214,True,True,Gambler,4,2
215,True,True,Gambler,5,1
216,True,True,Gambler,4,1
217,True,False,House,4,0
218,True,False,House,3,0
219,True,False,House,3,0
220,True,True,Gambler,3,1
221,True,False,House,3,0
222,True,True,Gambler,4,2
223,True,True,Gambler,2,2
224,True,True,Gambler,4,1
225,True,False,House,3,0
226,True,False,House,4,0
227,True,False,House,2,0
228,True,False,House,1,0
229,True,True,Gambler,4,1
230,True,True,Gambler,10,1
231,True,True,Gambler,6,3
232,True,False,House,6,0
233,True,True,Gambler,3,1
234,True,True,Gambler,3,2
235,True,False,House,4,0
236,True,False,House,5,0
237,True,False,House,4,0
238,True,False,House,2,0
239,True,False,House,4,0
240,True,True,Gambler,1,1
241,True,False,House,2,0
242,True,True,Gambler,6,1
243,True,False,House,5,0
244,True,True,Gambler,6,1
245,True,False,House,7,0
246,True,False,House,2,0
247,True,True,Gambler,5,1
248,True,True,Gambler,5,1
249,True,False,House,7,0
250,True,True,Gambler,5,2
251,True,False,House,5,0
252,True,False,House,8,0
253,True,True,Gambler,4,1
254,True,False,House,6,0
255,True,True,Gambler,5,1
256,True,False,House,5,0
257,True,False,House,4,0
258,True,False,House,3,0
259,True,True,Gambler,5,1
260,True,False,House,2,0
261,True,True,Gambler,3,1
262,True,True,Gambler,4,1
263,True,False,House,2,0
264,True,False,House,3,0
265,True,False,House,3,0
266,True,False,House,4,0
267,True,False,House,1,0
268,False,False,House,0,0
269,True,True,Gambler,3,1
270,True,False,House,4,0
271,True,False,House,3,0
272,True,True,Gambler,3,1
273,True,False,House,5,0
274,True,True,Gambler,5,1
275,True,False,House,2,0
276,True,True,Gambler,2,1
277,True,False,House,8,0
278,True,True,Gambler,7,2
279,True,True,Gambler,6,2
280,True,True,Gambler,5,1
281,True,True,Gambler,5,1
282,True,True,Gambler,6,1
283,True,True,Gambler,3,2
284,True,False,House,2,0
285,True,False,House,3,0
286,True,True,Gambler,6,1
287,True,False,House,4,0
288,True,True,Gambler,5,1
289,True,False,House,2,0
290,True,True,Gambler,4,1
291,True,True,Gambler,8,1
292,True,False,House,3,0
293,True,False,House,1,0
294,True,True,Gambler,2,1
295,True,False,House,3,0
296,True,True,Gambler,5,1
297,True,False,House,4,0
298,True,False,House,2,0
299,True,True,Gambler,3,1
300,True,False,House,3,0
301,True,False,House,4,0
302,True,False,House,5,0
303,True,True,Gambler,3,1
304,True,True,Gambler,4,1
305,True,True,Gambler,7,1
306,True,False,House,5,0
307,True,True,Gambler,3,2
308,True,True,Gambler,3,1
309,True,True,Gambler,7,2
310,True,True,Gambler,5,1
311,True,True,Gambler,6,1
312,True,True,Gambler,4,2
313,True,True,Gambler,6,1
314,True,True,Gambler,5,1
315,True,False,House,2,0
316,True,False,House,2,0
317,True,False,House,4,0
318,True,False,House,3,0
319,True,True,Gambler,7,1
320,True,True,Gambler,5,2
321,True,True,Gambler,5,2
322,True,True,Gambler,5,1
323,True,True,Gambler,4,1
324,True,True,Gambler,4,1
325,True,False,House,1,0
326,True,False,House,3,0
327,True,False,House,1,0
328,True,True,Gambler,5,1
329,True,True,Gambler,4,1
330,True,False,House,5,0
331,True,False,House,2,0
332,True,False,House,4,0
333,True,True,Gambler,3,1
334,True,False,House,3,0
335,True,False,House,5,0
336,True,True,Gambler,7,1
337,True,True,Gambler,6,1
338,True,False,House,3,0
339,True,False,House,7,0
340,True,True,Gambler,5,2
341,True,True,Gambler,5,2
342,True,False,House,5,0
343,True,True,Gambler,4,1
344,True,False,House,2,0
345,True,False,House,5,0
346,True,False,House,6,0
347,True,False,House,3,0
348,True,True,Gambler,3,1
349,True,False,House,1,0
350,True,True,Gambler,1,1
351,True,True,Gambler,6,1
352,True,True,Gambler,5,1
353,True,True,Gambler,6,1
354,True,True,Gambler,4,2
355,True,False,House,2,0
356,True,False,House,4,0
357,True,False,House,2,0
358,True,True,Gambler,3,2
359,True,True,Gambler,5,1
360,True,False,House,4,0
361,True,False,House,3,0
362,True,True,Gambler,5,1
363,True,True,Gambler,3,2
364,True,True,Gambler,3,1
365,True,False,House,2,0
366,True,False,House,2,0
367,True,False,House,5,0
368,True,True,Gambler,3,1
369,True,True,Gambler,1,1
370,True,True,Gambler,5,1
371,True,False,House,10,0
372,True,True,Gambler,4,1
373,True,True,Gambler,5,2
374,True,False,House,3,0
375,True,False,House,3,0
376,True,True,Gambler,2,1
377,True,False,House,2,0
378,True,True,Gambler,4,1
379,True,True,Gambler,2,1
380,True,False,House,5,0
381,True,True,Gambler,8,2
382,True,False,House,3,0
383,True,False,House,4,0
384,True,False,House,7,0
385,True,False,House,4,0
386,True,False,House,4,0
387,True,True,Gambler,2,2
388,True,False,House,2,0
389,True,False,House,4,0
390,True,True,Gambler,3,1
391,True,True,Gambler,5,1
392,True,True,Gambler,2,1
393,True,True,Gambler,7,1
394,True,False,House,3,0
395,True,False,House,1,0
396,True,False,House,6,0
397,True,True,Gambler,4,1
398,True,False,House,1,0
399,True,False,House,6,0
400,True,False,House,2,0
401,True,False,House,5,0
402,True,False,House,3,0
403,True,False,House,6,0
404,True,True,Gambler,2,1
405,True,True,Gambler,4,2
406,True,False,House,5,0
407,True,False,House,2,0
408,True,True,Gambler,6,1
409,True,False,House,3,0
410,True,False,House,4,0
411,True,True,Gambler,6,3
412,True,False,House,2,0
413,True,False,House,2,0
414,True,True,Gambler,5,2
415,True,False,House,2,0
416,True,False,House,2,0
417,True,True,Gambler,6,1
418,True,True,Gambler,4,1
419,True,True,Gambler,4,3
420,True,False,House,2,0
421,True,True,Gambler,4,1
422,True,False,House,2,0
423,True,True,Gambler,5,2
424,True,True,Gambler,6,2
425,True,False,House,1,0
426,True,True,Gambler,7,1
427,True,False,House,4,0
428,True,True,Gambler,4,1
429,True,False,House,4,0
430,True,False,House,3,0
431,True,False,House,1,0
432,True,True,Gambler,5,1
433,True,True,Gambler,3,1
434,True,False,House,5,0
435,True,True,Gambler,5,1
436,True,False,House,3,0
437,True,True,Gambler,5,1
438,True,True,Gambler,3,1
439,True,True,Gambler,3,1
440,True,False,House,3,0
441,True,True,Gambler,4,1
442,True,True,Gambler,5,1
443,True,True,Gambler,3,1
444,True,False,House,1,0
445,False,False,House,0,0
446,True,False,House,3,0
447,True,True,Gambler,7,1
448,True,False,House,5,0
449,True,False,House,2,0
450,True,False,House,2,0
