Arizona,85,77,NL West
Atlanta,97,65,NL East
Baltimore,54,108,AL East
Boston,84,78,AL East
Chicago Cubs,84,78,NL Central
Chicago White Sox,72,89,AL Central
Cincinnati,75,87,NL Central
Cleveland,93,69,AL Central
Colorado,71,91,NL West
Detroit,47,114,AL Central
Houston,107,55,AL West
Kansas City,59,103,AL Central
Los Angeles Angels,72,90,AL West
Los Angeles Dodgers,106,56,NL West
Miami,57,105,NL East
Milwaukee,89,73,NL Central
Minnesota,101,61,AL Central
New York Mets,86,76,NL East
New York Yankees,103,59,AL East
Oakland,97,65,AL West
Philadelphia,81,81,NL East
Pittsburgh,69,93,NL Central
San Diego,70,92,NL West
San Francisco,77,85,NL West
Seattle,68,94,AL West
St. Louis,91,71,NL Central
Tampa Bay,96,66,AL East
Texas,78,84,AL West
Toronto,67,95,AL East
Washington,93,69,NL East
